Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
コムシスホールディングス,1721,2024-07-17,3258.0,3275.0,3796.0,4.8,4.0,-27.8,1.3,-2.2,53.2,39.2,61.9,54.8,139.7,54.8,0,0,0,0,0,0
ビーアールホールディングス,1726,2024-07-17,368.0,370.0,404.0,1.3,0.1,0.8,1.1,-3.0,58.4,38.1,66.7,57.6,114.7,50.0,0,0,0,0,0,0
高松コンストラクショングループ,1762,2024-07-17,3120.0,3115.0,3115.0,43.7,-0.2,31.2,2.3,-2.0,64.8,41.7,68.7,62.4,211.1,64.1,0,0,0,1,1,0
東建コーポレーション,1766,2024-07-17,11700.0,12700.0,12700.0,120.7,-15.9,12.6,0.4,-2.4,55.3,41.7,53.3,52.8,160.9,54.5,0,0,0,0,0,0
ヤマウラ,1780,2024-07-17,1340.0,1370.0,1718.0,0.8,0.3,-5.4,0.8,-1.6,50.5,42.0,55.1,51.0,197.9,58.9,0,0,0,0,0,0
オリエンタル白石,1786,2024-07-17,352.0,369.0,408.0,-0.7,-0.2,-3.4,-0.4,-1.8,45.9,41.8,45.6,46.6,127.2,61.1,0,0,0,0,0,0
大成建設,1801,2024-07-17,6443.0,6359.0,6359.0,96.9,5.4,48.0,3.3,-2.7,63.2,42.0,68.7,61.3,101.2,60.4,0,0,0,1,1,0
大林組,1802,2024-07-17,2049.5,2028.5,2028.5,42.3,2.1,9.9,3.6,-2.4,66.5,42.3,73.3,66.2,162.1,64.4,0,0,0,1,1,0
清水建設,1803,2024-07-17,946.6,952.5,1121.5,12.5,0.8,4.3,1.9,-2.8,56.9,40.4,63.1,59.0,262.5,63.2,0,0,0,0,0,0
飛島建設,1805,2024-07-17,1572.0,1557.0,1650.0,18.3,0.9,7.6,2.6,-2.5,63.0,41.4,70.1,61.6,226.8,49.5,0,0,0,1,0,0
長谷工コーポレーション,1808,2024-07-17,1844.0,1832.0,2018.0,0.1,2.2,-2.6,2.6,-2.1,57.2,41.8,65.8,53.3,225.0,59.8,0,0,0,1,0,0
鹿島建設,1812,2024-07-17,2924.5,2926.5,3213.0,28.3,3.3,-13.1,2.8,-2.6,58.7,42.2,65.8,58.8,186.9,58.1,0,0,0,0,0,0
不動テトラ,1813,2024-07-17,2453.0,2671.0,2761.0,9.5,-2.9,8.8,-1.3,-2.1,50.1,41.7,46.0,50.1,131.4,59.9,0,0,0,0,0,0
大末建設,1814,2024-07-17,1746.0,1772.0,1849.0,0.7,0.3,-6.7,1.4,-2.2,55.8,39.1,58.0,51.0,102.5,51.8,0,0,0,0,0,0
鉄建建設,1815,2024-07-17,2622.0,2679.0,3005.0,-6.9,0.8,-34.4,1.1,-2.1,51.4,41.6,53.7,48.8,96.2,53.3,0,0,0,0,0,0
西松建設,1820,2024-07-17,4890.0,4849.0,4849.0,70.3,7.5,14.5,3.3,-2.1,68.1,41.8,77.5,67.0,188.1,67.2,0,0,0,1,1,0
三井住友建設,1821,2024-07-17,402.0,408.0,460.0,-0.1,-0.0,-0.6,1.3,-2.4,52.1,40.1,55.8,50.0,118.1,61.8,0,0,0,0,0,0
奥村組,1833,2024-07-17,5210.0,5230.0,5340.0,62.8,1.9,9.8,1.5,-2.0,63.0,43.0,69.4,64.0,216.6,64.1,0,0,0,0,0,0
東鉄工業,1835,2024-07-17,3275.0,3280.0,3280.0,23.0,1.5,10.9,1.9,-2.0,60.5,41.8,66.0,58.2,177.5,62.6,0,0,0,0,0,0
淺沼組,1852,2024-07-17,3890.0,3930.0,4440.0,48.7,1.1,8.9,0.7,-2.0,57.6,42.6,62.9,61.4,166.1,60.3,0,0,0,0,0,0
戸田建設,1860,2024-07-17,1079.5,1109.5,1126.5,0.7,0.7,-3.8,1.7,-2.3,55.0,43.2,57.6,51.9,91.0,63.7,0,0,0,0,0,0
